Match ID,Event,Date,Team 1,Team 2,Map,Team 1 Rounds,Team 2 Rounds,Total Rounds,Winner,Team 1 FK,Team 2 FK,Team 1 Clutches,Team 2 Clutches,Team 1 Rating,Team 2 Rating
32305,ESL One Cologne 2016,2016-07-05 18:05:00,fnatic,FaZe,Dust2,14,16,30,FaZe,16,13,1,1,0.91,1.17
32302,ESL One Cologne 2016,2016-07-05 16:45:00,SK,G2,Cobblestone,16,11,27,SK,18,9,0,4,1.24,0.87
32297,ESL One Cologne 2016,2016-07-05 15:15:00,Virtus.pro,mousesports,Train,16,10,26,Virtus.pro,15,11,3,1,1.23,0.9
32296,ESL One Cologne 2016,2016-07-05 14:00:00,Liquid,Envy,Train,16,7,23,Liquid,13,10,2,0,1.29,0.79
32295,ESL One Cologne 2016,2016-07-05 13:00:00,NiP,OpTic,Dust2,16,4,20,NiP,12,8,0,0,1.53,0.56
32294,ESL One Cologne 2016,2016-07-05 11:45:00,Natus Vincere,FlipSid3,Train,16,7,23,Natus Vincere,13,10,1,2,1.34,0.8
32293,ESL One Cologne 2016,2016-07-05 10:25:00,CLG,Gambit,Dust2,13,16,29,Gambit,13,16,1,1,0.99,1.07
32292,ESL One Cologne 2016,2016-07-05 09:00:00,Astralis,Dignitas,Overpass,16,12,28,Astralis,19,9,3,2,1.15,0.96
29610,MLG Columbus 2016,2016-04-03 17:45:00,Natus Vincere,Luminosity,Overpass,2,16,18,Luminosity,4,14,0,6,0.58,1.59
29608,MLG Columbus 2016,2016-04-03 17:45:00,Natus Vincere,Luminosity,Mirage,17,19,36,Luminosity,16,20,7,4,0.99,1.2
29603,MLG Columbus 2016,2016-04-02 21:45:00,Liquid,Luminosity,Cache,16,19,35,Luminosity,18,17,3,2,0.99,1.15
29601,MLG Columbus 2016,2016-04-02 21:45:00,Liquid,Luminosity,Mirage,15,19,34,Luminosity,17,17,2,1,0.87,1.17
29600,MLG Columbus 2016,2016-04-02 18:45:00,Natus Vincere,Astralis,Dust2,16,5,21,Natus Vincere,14,7,2,0,1.38,0.72
29599,MLG Columbus 2016,2016-04-02 18:45:00,Natus Vincere,Astralis,Inferno,16,14,30,Natus Vincere,12,18,1,0,1.02,0.96
29592,MLG Columbus 2016,2016-04-02 14:00:00,Luminosity,Virtus.pro,Overpass,16,11,27,Luminosity,18,9,1,1,1.12,0.97
29589,MLG Columbus 2016,2016-04-02 14:00:00,Luminosity,Virtus.pro,Cobblestone,16,10,26,Luminosity,17,9,0,3,1.31,0.84
29587,MLG Columbus 2016,2016-04-02 14:00:00,Luminosity,Virtus.pro,Cache,17,19,36,Virtus.pro,17,19,1,2,0.97,1.14
29575,MLG Columbus 2016,2016-04-01 20:00:00,Liquid,CLG,Mirage,16,6,22,Liquid,18,3,1,1,1.38,0.7
29574,MLG Columbus 2016,2016-04-01 20:00:00,Liquid,CLG,Cache,16,13,29,Liquid,15,14,3,0,1.12,1.05
29573,MLG Columbus 2016,2016-04-01 17:15:00,Astralis,fnatic,Cache,16,5,21,Astralis,12,9,0,0,1.4,0.68
29572,MLG Columbus 2016,2016-04-01 17:15:00,Astralis,fnatic,Overpass,16,10,26,Astralis,15,11,4,1,1.18,1.0
29571,MLG Columbus 2016,2016-04-01 14:00:00,Natus Vincere,NiP,Mirage,16,10,26,Natus Vincere,12,14,2,1,1.25,0.81
29570,MLG Columbus 2016,2016-04-01 14:00:00,Natus Vincere,NiP,Inferno,16,9,25,Natus Vincere,15,10,2,1,1.18,0.96
29569,MLG Columbus 2016,2016-04-01 00:00:00,G2,Virtus.pro,Cobblestone,7,16,23,Virtus.pro,8,15,1,3,0.72,1.38
29568,MLG Columbus 2016,2016-04-01 00:00:00,G2,Virtus.pro,Inferno,16,9,25,G2,14,11,3,2,1.25,0.9
29567,MLG Columbus 2016,2016-04-01 00:00:00,G2,Virtus.pro,Train,9,16,25,Virtus.pro,12,13,0,2,0.8,1.32
29566,MLG Columbus 2016,2016-03-31 20:00:00,Gambit,CLG,Mirage,10,16,26,CLG,12,14,0,0,0.87,1.26
29565,MLG Columbus 2016,2016-03-31 20:00:00,Gambit,CLG,Cobblestone,11,16,27,CLG,12,15,1,1,0.94,1.14
29564,MLG Columbus 2016,2016-03-31 20:00:00,Gambit,CLG,Cache,16,13,29,Gambit,16,13,3,2,1.15,0.93
29563,MLG Columbus 2016,2016-03-31 17:40:00,FaZe,fnatic,Cobblestone,6,16,22,fnatic,8,13,2,0,0.66,1.45
29560,MLG Columbus 2016,2016-03-31 17:40:00,FaZe,fnatic,Mirage,10,16,26,fnatic,17,9,1,3,0.98,1.14
29559,MLG Columbus 2016,2016-03-31 14:00:00,mousesports,NiP,Overpass,9,16,25,NiP,11,14,0,0,0.92,1.18
29558,MLG Columbus 2016,2016-03-31 14:00:00,mousesports,NiP,Cache,16,12,28,mousesports,16,12,0,3,1.23,0.92
29557,MLG Columbus 2016,2016-03-31 14:00:00,mousesports,NiP,Cobblestone,5,16,21,NiP,11,9,1,2,0.87,1.34
29556,MLG Columbus 2016,2016-03-31 00:40:00,Natus Vincere,Virtus.pro,Cobblestone,16,4,20,Natus Vincere,13,7,1,0,1.46,0.64
29555,MLG Columbus 2016,2016-03-30 23:25:00,CLG,Astralis,Overpass,9,16,25,Astralis,8,16,0,1,0.77,1.22
29552,MLG Columbus 2016,2016-03-30 21:20:00,Liquid,fnatic,Dust2,22,19,41,Liquid,22,19,3,2,1.18,0.95
29551,MLG Columbus 2016,2016-03-30 20:30:00,NiP,Luminosity,Mirage,5,16,21,Luminosity,7,14,0,2,0.67,1.48
29550,MLG Columbus 2016,2016-03-30 19:30:00,Cloud9,G2,Dust2,3,16,19,G2,5,14,0,0,0.61,1.57
29549,MLG Columbus 2016,2016-03-30 18:10:00,Envy,Gambit,Cache,13,16,29,Gambit,17,12,2,2,1.06,1.1
29548,MLG Columbus 2016,2016-03-30 17:00:00,FaZe,Splyce,Inferno,16,3,19,FaZe,10,9,0,0,1.47,0.62
29540,MLG Columbus 2016,2016-03-30 14:00:00,FlipSid3,mousesports,Cobblestone,28,31,59,mousesports,29,30,4,9,1.1,1.04
29539,MLG Columbus 2016,2016-03-30 00:15:00,Virtus.pro,G2,Train,16,1,17,Virtus.pro,12,5,2,0,1.54,0.64
29538,MLG Columbus 2016,2016-03-29 23:15:00,Natus Vincere,Cloud9,Train,16,9,25,Natus Vincere,13,12,1,0,1.21,0.83
29537,MLG Columbus 2016,2016-03-29 21:50:00,Astralis,Gambit,Train,16,10,26,Astralis,14,12,3,1,1.21,0.95
29536,MLG Columbus 2016,2016-03-29 20:10:00,Envy,CLG,Cobblestone,8,16,24,CLG,9,15,2,1,0.88,1.27
29535,MLG Columbus 2016,2016-03-29 19:00:00,fnatic,Splyce,Train,16,5,21,fnatic,13,8,1,1,1.47,0.65
29534,MLG Columbus 2016,2016-03-29 17:30:00,FaZe,Liquid,Cache,11,16,27,Liquid,11,16,0,2,0.92,1.17
29533,MLG Columbus 2016,2016-03-29 16:00:00,Luminosity,mousesports,Mirage,16,13,29,Luminosity,14,15,1,2,1.06,1.03
29735,MLG Columbus 2016,2016-03-29 14:00:00,NiP,FlipSid3,Cache,19,17,36,NiP,13,23,4,2,1.04,1.11
25275,DreamHack Open Cluj-Napoca 2015,2015-11-01 18:00:00,Envy,Natus Vincere,Cobblestone,16,5,21,Envy,12,9,2,1,1.38,0.65
25274,DreamHack Open Cluj-Napoca 2015,2015-11-01 18:00:00,Envy,Natus Vincere,Train,16,14,30,Envy,16,13,4,0,0.86,1.11
25273,DreamHack Open Cluj-Napoca 2015,2015-11-01 15:30:00,NiP,Natus Vincere,Dust2,6,16,22,Natus Vincere,6,16,1,0,0.55,1.4
25272,DreamHack Open Cluj-Napoca 2015,2015-11-01 15:30:00,NiP,Natus Vincere,Train,3,16,19,Natus Vincere,3,16,1,3,0.66,1.39
25271,DreamHack Open Cluj-Napoca 2015,2015-11-01 11:00:00,Envy,G2,Cache,16,7,23,Envy,10,13,2,1,1.38,0.73
